"","Restaurant","Similar_Restaurant","Address","Cuisine","Latitude","Longitude","City"
"119","Flex Mussels","The Capital Grille, The Capital Grille, Red Hook Lobster Pound 365, Red Hook Lobster Pound 365, The John Dory Oyster Bar, The John Dory Oyster Bar","174 E 82nd St New York, NY, 10028","Seafood, Eclectic & International",40.77631,-73.95649,"New York City"
"120","Flex Mussels 154","Estiatorio Milos, Barfish Bistro, Waterline, Blue Water Grill, Catch NYC","155 W 51st St New York, NY, 10019","French, Seafood, Cocktails",40.76157,-73.9818,"New York City"
"121","Flex Mussels 174","The Mermaid Inn 96, La Gioconda, Luke's Lobster 685, Trattoria iL Gusto (Formerly Pesce & Pasta), Crispin's","178 Mulberry St New York, NY, 10013","Italian, Seafood",40.72065,-73.99665,"New York City"
"122","Four Winds Seafood Grille","Beekman Beer Garden, Miramar, White Oak, Benvenuto Caffe, Upstate","266 Commercial St Boston, MA, 02109","Southwestern, Seafood",42.364317,-71.051351,"Boston"
"123","Francisco's Centro Vasco","Sevilla, El Rey de la Caridad, Caridad, Ricardo Ocean Grill, Luke's Lobster 207","159 W 23rd St New York, NY, 10011","Spanish, Seafood",40.74402,-73.99473,"New York City"
"124","Frying Pan","Ditch Plains, 75 Chestnut, The Claw, Towne Stove and Spirits, Hurley's Saloon","Pier 66 Maritime New York, NY, 10011","Seafood, American",40.75243,-74.00972,"New York City"
"125","Fuleen Seafood","Bubor Cha Cha, GaGa Seafood, New Golden Gate, New Jumbo Seafood, Lok Sing Seafood Restaurant","11 Division St New York, NY, 10002","Chinese, Seafood",40.7139305,-73.9968965,"New York City"
"126","GaGa Seafood","New Jumbo Seafood, Fuleen Seafood, Lok Sing Seafood Restaurant, Bubor Cha Cha, New Golden Gate","25 Tyler St Boston, MA, 02111","Chinese, Seafood",42.3506704,-71.0609622,"Boston"
"127","Gilbert's Chowder House","No Name Restaurant, Susan's Fish N Chips, Fleet Landing, The Lobster Shack, Durgin Park","92 Commercial St Portland, ME, 04101","Seafood, American",43.6568441,-70.2505061,"Portland"
"128","Grand Central Oyster Bar","Old Port Sea Grill & Raw Bar, Pearl Oyster Bar, Atlantic Fish Company, Legal C Bar, Stockyard","89 E 42nd St New York, NY, 10017","Seafood",40.75273,-73.97724,"New York City"
"129","Grey Lady","Upstate, Beluga Bar by Caviarteria, North End Grill, Beekman Beer Garden, Lox NYC","77 Delancey St New York, NY, 10002","American (New), Seafood, Cocktails",40.71883,-73.99022,"New York City"
"130","Hank's Seafood Restaurant","Blackstone Grill, Captain Marden's Seafoods, Barking Crab, Union Oyster House, Fish Market","10 Hayne St Charleston, SC, 29401","Seafood, American",32.7819497,-79.9298949,"Charleston"
"131","Harborside Grill and Patio","Towne Stove and Spirits, The Wayfarer, Thalia, Ditch Plains, The Claw","101 Harborside Dr Boston, MA, 02128","American (New), Seafood",42.3592641,-71.0272118,"Boston"
"132","Harbour Lights","Mare Seafood, The Mermaid Inn, The Mermaid Inn, Prime 333, Cafe Espanol 78","South St Seaport Pier 17 New York, NY, 10038","American (New), Seafood",40.70556,-74.00174,"New York City"
"133","Harlow","The John Dory Oyster Bar, The Crow's Nest, Red Hook Lobster Pound 365, Virgola, Flex Mussels, Flex Mussels","111 E 56th St New York, NY, 10022","American (New), Seafood",40.7607399,-73.970458,"New York City"
"134","Harp Raw Bar & Grill","Stockyard, Ed's Chowder House, LTK, Mare Seafood, Harbour Lights","729 3rd Ave New York, NY, 10017","Seafood, Soul Food",40.75287,-73.97257,"New York City"
"135","Himalayan Bistro","Bombay's Indian Restaurant, Tulip Indian Restaurant, The Upper Crust Pizzeria, Sable's, Lorenz Island Kuisine","1735 Centre St West Roxbury, MA, 02132","Seafood, Chicken",42.2874312,-71.1497486,"Boston"
"136","Hoshiya Sushi","Iron Sushi, Luke's Lobster 93, Ichiumi, JJ Sushi Cafe, Lobster Smack","529 Washington St Brighton, MA, 02135","Japanese, Sushi, Seafood, Asian, Lunch Specials",42.349175,-71.1629077,"Boston"
"137","Huff's Seafood","Lighthouse Fish Market & Restaurant, Captain D's 4008, Captain D's 1936, Captain D's 6326, Captain D's 5130","837 Folly Rd Charleston, SC, 29412","Seafood, American",32.737575,-79.966946,"Charleston"
"138","Hunt & Fish Club","Abe & Louie's Steakhouse, Mare Seafood, Stockyard, Harbour Lights, Ben & Jack's Steakhouse, Ben & Jack's Steakhouse","125 W 44th St New York, NY, 10036","American (New), Seafood, Steak",40.75681,-73.98424,"New York City"
"139","Hurley's Saloon","North River Lobster Company, Frying Pan, Ditch Plains, Wai Cafe, Aura","232 W 48th St New York, NY, 10036","Seafood, Steak, American",40.76053,-73.98613,"New York City"
"140","Hyman's Seafood","Bubba Gump Shrimp Co., Bubba Gump Shrimp Co. 99, Joe's Crab Shack, Joe's Crab Shack, Coast","213 Meeting St Charleston, SC, 29401","Seafood, American",32.7815261,-79.9318076,"Charleston"
"141","Ichiumi","JJ Sushi Cafe, Luke's Lobster, Luke's Lobster, Luke's Lobster, Luke's Lobster, Luke's Lobster 1, Luke's Lobster, Luke's Lobster","6 E 32nd St New York, NY, 10016","Japanese, Sushi, Seafood",40.74654,-73.98498,"New York City"
"142","Il Pesce","Black Crescent, Marea, Atlantic Grill Lincoln Center, Virgola, Bay Kitchen Bar","200 5th Ave New York, NY, 10010","Italian, Seafood",40.742,-73.98994,"New York City"
"143","Iron Sushi","Luke's Lobster 93, JJ Sushi Cafe, Ichiumi, Amber Sushi (28th St), Luke's Lobster, Luke's Lobster 1, Luke's Lobster, Luke's Lobster, Luke's Lobster, Luke's Lobster, Luke's Lobster","212 E 10th St New York, NY, 10003","Japanese, Sushi, Noodles, Seafood, Soups, Desserts, Vegetarian, Asian, Healthy, Lunch Specials, Vegan",40.72928,-73.98607,"New York City"
"144","Island Creek Oyster Bar","Clambakes By Jim Sanford, LTK, Harp Raw Bar & Grill, Ed's Chowder House, Docks","500 Commonwealth Ave Boston, MA, 02215","Seafood, Gastropub, Local/Organic, New England",42.3486282,-71.0952228,"Boston"
"145","J's Oyster","Pee Dee Steak House, Claw Daddy's, Luke's Lobster 26, Yankee Lobster, The Daily Catch 323, The Daily Catch 2","5 Portland Portland, ME, 04101","Seafood, American",43.6587381,-70.262005,"Portland"
"146","James Hook & Co Lobsters","Luke's Lobster 75, Red Hook Lobster Pound, Red Hook Lobster Pound, Lobster Smack, Eighteen Restaurant","15 Northern Ave Boston, MA, 02210","Seafood",42.3549799,-71.0509465,"Boston"
"147","Jasper White's Summer Shack","The Mermaid Inn, The Mermaid Inn, Cafe Espanol 78, Prime 333, Legal Sea Foods 100, Legal Sea Foods 255, Legal Sea Foods 26","50 Dalton St Boston, MA, 02115","Seafood",42.3469888,-71.085711,"Boston"
"148","Jeremy's Ale House","Weathervane Seafood Restaurant, The Lobster Shack, Susan's Fish N Chips, Gilbert's Chowder House, No Name Restaurant","228 Front St New York, NY, 10038","Seafood, American, Bar Food",40.70771,-74.00212,"New York City"
"149","JJ Sushi Cafe","Luke's Lobster 93, Ichiumi, Iron Sushi, Luke's Lobster 1, Luke's Lobster, Luke's Lobster, Luke's Lobster, Luke's Lobster, Luke's Lobster, Luke's Lobster","995 6th Ave New York, NY, 10018","Japanese, Sushi, Seafood, Soups, Vegetarian, Asian, Healthy, Lunch Specials",40.7517,-73.98675,"New York City"
"150","JJR Highridge Fishery","CajunSea, A W Shuck's Seafood, Pearlz Oyster Bar 153, Pearlz Oyster Bar 9, Sagaponack","1791 Central Park Ave New York, NY, 11212","Seafood, American",40.96134,-73.84204,"New York City"
"151","Joe's Crab Shack","Famous Fish Market, Famous Fish Market, Long John Silver's, Long John Silver's, Amsterdam Ave Fish, Amsterdam Ave Fish","301 W 125th St New York, NY, 10027","Seafood",40.81054,-73.95146,"New York City"
"152","Joe's Crab Shack","Famous Fish Market, Famous Fish Market, Long John Silver's, Long John Silver's, Amsterdam Ave Fish, Amsterdam Ave Fish","2349 Frederick Douglass Blvd New York, NY, 10027","Seafood",40.81084,-73.95097,"New York City"
"153","Joe's Crab Shack 2349","The Palm Too, Row 34, Amen Street Fish & Rawbar, The Falmouth Sea Grill, Tia's","237 W 54th St New York, NY, 10019","Seafood, Steak",40.76449,-73.98306,"New York City"
"154","Joe's Crab Shack 301","Bubba Gump Shrimp Co. 99, Ben & Jack's Steakhouse 219, Hyman's Seafood, El Palacio Seafood Market, Calle 174 Pescaderia (fka Sea Flower)","303 W 116th St New York, NY, 10026","Seafood",40.80482,-73.95572,"New York City"
"155","Joon's Westside Fish","Coast, Bubba Gump Shrimp Co., Hyman's Seafood, Bubba Gump Shrimp Co. 99, A W Shuck's Seafood","774 Amsterdam Ave New York, NY, 10025","Seafood, American",40.79538,-73.96978,"New York City"
"156","Joseph's","Umberto's Clam House, Crispin's, Trattoria iL Gusto (Formerly Pesce & Pasta), Flex Mussels 174, The Mermaid Inn 96","3 Hanover Sq New York, NY, 10004","Italian, Sandwiches, Seafood, Salads, Healthy",40.70499,-74.00965,"New York City"
"157","Junior's Seafood","Red Hook Lobster Pound 16, Seafood King Fish Market, Boca Chica, Rincon Limeno Restaurant, Marisco Centro","4235 Broadway New York, NY, 10033","Seafood, Latin American",40.84953,-73.93695,"New York City"
"158","Kellari Taverna","Taverna Kyclades, Thalassa, Fish Tag, Avra, Ostra","19 W 44th St New York, NY, 10036","Greek, Seafood",40.75552,-73.98085,"New York City"
"159","Kim's Aunt Kitchen Cart","El Puerto Seafood & Fish Market, Calle 174 Pescaderia (fka Sea Flower), Chicken House, El Palacio Seafood Market, Bubba Gump Shrimp Co. 99","46th St New York, NY, 10036","Korean, Sandwiches, Seafood",40.76016,-73.98883,"New York City"
"160","Kipo's","Royal Roast Beef and Seafood, Dardanel, 24 Hour Pizza Delivery, Nerai, Telio","106 Bunker Hill St Charlestown, MA, 02129","Pizza, Sandwiches, Seafood",42.3775161,-71.0586242,"Boston"
"161","KO Pies","Wai Cafe, North River Lobster Company, Aura, The Kitchen Sink, Aldea - Quick-Service (Lunch)","87 A St Boston, MA, 02127","Sandwiches, Seafood",42.3424348,-71.0545821,"Boston"
"162","L'Espalier","Luke's Lobster 242, Barney Greengrass, Russ & Daughters Cafe, Caviar Russe, Beluga Bar by Caviarteria","774 Boylston St Boston, MA, 02199","French, Seafood, Vegetarian, New England",42.3488587,-71.0810899,"Boston"
"163","L&W Oyster Co.","McCormick & Schmick's, Oceanaire, Charlie Palmer Steak, Morton's The Steakhouse, Smith & Wollensky","254 5th Ave New York, NY, 10001","American (New), Seafood",40.74498,-73.98743,"New York City"
"164","La Gioconda","Luke's Lobster 685, The Mermaid Inn 96, Flex Mussels 174, Trattoria iL Gusto (Formerly Pesce & Pasta), Crispin's","226 E 53rd St New York, NY, 10022","Italian, Seafood, Chicken, Pasta, Salads, Healthy",40.75707,-73.96843,"New York City"
"165","La Marina","Walter's, Miel, Oceana, Seamore?s Nolita, Legal Osteria","348 Dyckman St New York, NY, 10034","Seafood, Steak",40.86896,-73.93188,"New York City"
"166","La Pulperia","The Wayfarer, Harborside Grill and Patio, Towne Stove and Spirits, KO Pies, North River Lobster Company","1626 2nd Ave New York, NY, 10028","Seafood, South American, Cocktails",40.77661,-73.95231,"New York City"
"167","Le Jardin Bistro","Junior's Seafood, Albert's Mofongo, Cafe Espanol, Cafe Espanol, Red Hook Lobster Pound 16","115 Avenue C New York, NY, 10009","French, Seafood, Bistro",40.7244048,-73.9787807,"New York City"
"168","Legal C Bar","City Lobster & Steakhouse, Chart House, Wild Edibles, LTK, Harp Raw Bar & Grill","1 Harborside Dr Boston, MA, 02128","Seafood",42.3634422,-71.0257812,"Boston"
"169","Legal Crossing","Mastro's Steakhouse, Boston Chops, Maloney & Porcelli, 212 Steakhouse, Legal Osteria","558 Washington St Boston, MA, 02111","Seafood",42.3537039,-71.0622324,"Boston"
"170","Legal Harborside","Urban Lobster Shack On Wheels, The Falmouth Sea Grill, Docks, The Clam, Tia's","270 Northern Ave Boston, MA, 02210","Seafood",42.3486426,-71.0377109,"Boston"
"171","Legal Osteria","Walter's, Waterline, Mary's Fish Camp, La Marina, Flex Mussels 154","10 City Sq Charlestown, MA, 02129","Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"172","Legal Sea Foods 100","Charlie Palmer Steak, L&W Oyster Co., Smith & Wollensky, McCormick & Schmick's, Oceanaire","100 Huntington Ave Boston, MA, 02116","Seafood, New England",42.3471447,-71.0773777,"Boston"
"173","Legal Sea Foods 255","Charlie Palmer Steak, L&W Oyster Co., Smith & Wollensky, McCormick & Schmick's, Oceanaire","255 State St Boston, MA, 02109","Seafood, New England",42.3593857,-71.0513553,"Boston"
"174","Legal Sea Foods 26","Charlie Palmer Steak, L&W Oyster Co., Smith & Wollensky, McCormick & Schmick's, Oceanaire","26 Park Plz Boston, MA, 02116","Seafood, New England",42.3509603,-71.0677556,"Boston"
"175","Lighthouse Fish Market & Restaurant","Huff's Seafood, Captain D's 6326, Captain D's 4008, Captain D's 1936, Captain D's 5130","2451 Frederick Douglas Blvd New York, NY, 10027","Seafood, Wings, Fish & Chips",40.81412,-73.94867,"New York City"
"176","Live Bait","White Oak, Central Wharf Co., The Claw, Thalia, Ditch Plains","14 E 23rd St New York, NY, 10010","Barbecue, Seafood, Soul Food, Cocktails",40.74076,-73.9884,"New York City"
"177","Lobster Boat Restaurant","Chicken House, Asian Diet Food - John St., Asian Diet Food - Broadway, Kim's Aunt Kitchen Cart, China Bo ($1 Chinese Rice/#1 Chinese Food)","11 Mott St New York, NY, 10013","Chinese, Seafood",40.7140628,-73.998918,"New York City"
"178","Lobster Smack","Eighteen Restaurant, Luke's Lobster 75, James Hook & Co Lobsters, Amber Sushi (28th St), Iron Sushi","90 West Houston Street New York, NY, 10012","Seafood",40.72723,-73.99995,"New York City"
"179","Locklear's Fine Seafood","The Boathouse 38, The Boathouse 10, The Boathouse 549, Durgin Park, Fleet Landing","504 Folly Rd Charleston, SC, 29412","Seafood, American",32.7546104,-79.9718564,"Charleston"
"180","Lok Sing Seafood Restaurant","New Jumbo Seafood, GaGa Seafood, Fuleen Seafood, East Ocean City, Bubor Cha Cha","290 Grand St New York, NY, 10002","Seafood, American",40.71778,-73.99203,"New York City"
"181","Long John Silver's","Famous Fish Market, Luke's Lobster 426, Charleston Crab House 41, Charleston Crab House 145, Amsterdam Ave Fish","1560 Vfw Pkwy West Roxbury, MA, 02132","Seafood, American",42.2668244,-71.1685472,"Boston"
"182","Lorenz Island Kuisine","White Oak, KO Pies, La Pulperia, Harborside Grill and Patio, Thalia","657 Washington St Dorchester Center, MA, 02124","Indian, Noodles, Jamaican, Seafood, Caribbean, Chicken, Pasta, Vegetarian, Breakfast, Healthy",42.2887727,-71.07147,"Boston"
"183","Lox NYC","Beluga Bar by Caviarteria, Caviar Russe, Russ & Daughters Cafe, Upstate, L'Espalier","1109 5th Ave New York, NY, 10128","Deli Food, Sandwiches, Seafood, Eastern European",40.7854206,-73.9572934,"New York City"
"184","LTK","Benjamin Steakhouse, Harp Raw Bar & Grill, Wild Edibles, City Lobster & Steakhouse, Stockyard","225 Northern Ave Boston, MA, 02210","American (New), Seafood, New England",42.3483314,-71.0385873,"Boston"
"185","Luke's Lobster","The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place","685 3rd Ave New York, NY, 10017","Seafood, Soups, New England",40.75149,-73.9736,"New York City"
"186","Luke's Lobster","The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place","426 Amsterdam Ave New York, NY, 10024","Seafood, Soups, New England",40.78422,-73.97787,"New York City"
"187","Luke's Lobster","The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place","207 E 43rd St New York, NY, 10017","Seafood, Soups, New England",40.75126,-73.97324,"New York City"
"188","Luke's Lobster","The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place","93 E 7th St New York, NY, 10009","Seafood, Soups, New England",40.72697,-73.9853,"New York City"
"189","Luke's Lobster","The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place","242 E 81st St New York, NY, 10028","Seafood, Soups, New England",40.77457,-73.95467,"New York City"
"190","Luke's Lobster","The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place, The Lobster Place","26 S William St New York, NY, 10004","Seafood, Soups, New England",40.70452,-74.01095,"New York City"
"191","Luke's Lobster 1","The Lobster Place, Ichiumi, JJ Sushi Cafe, Luke's Lobster 93, Iron Sushi","1 W 59th St New York, NY, 10019","Seafood",40.7647267,-73.9744989,"New York City"
"192","Luke's Lobster 207","Central Wharf Co., Ma Dukes Manhattan Island Seafood, Fire House Seafood, Luke's Lobster 26, Claw Daddy's","2089 Amsterdam Ave New York, NY, 10032","Seafood",40.83683,-73.93876,"New York City"
"193","Luke's Lobster 242","L'Espalier, Barney Greengrass, Russ & Daughters Cafe, Caviar Russe, Beluga Bar by Caviarteria","2429 Broadway New York, NY, 10024","Deli Food, Seafood",40.79064,-73.97512,"New York City"
"194","Luke's Lobster 26","Yankee Lobster, Fire House Seafood, J's Oyster, Central Wharf Co., The Daily Catch 2, The Daily Catch 323","269 W 23rd St New York, NY, 10011","Seafood, American",40.74527,-73.99779,"New York City"
"195","Luke's Lobster 426","Famous Fish Market, Charleston Crab House 41, Charleston Crab House 145, Long John Silver's, Huff's Seafood","429 Lenox Ave New York, NY, 10037","Seafood",40.81197,-73.94284,"New York City"
"196","Luke's Lobster 685","La Gioconda, The Mermaid Inn 96, Flex Mussels 174, Trattoria iL Gusto (Formerly Pesce & Pasta), Crispin's","69 MacDougal St New York, NY, 10012","Italian, Seafood",40.72859,-74.002,"New York City"
"197","Luke's Lobster 75","James Hook & Co Lobsters, Lobster Smack, Iron Sushi, Luke's Lobster 93, Ichiumi","75 Exeter St Boston, MA, 02116","Seafood",42.3488381,-71.0794555,"Boston"
"198","Luke's Lobster 93","JJ Sushi Cafe, Iron Sushi, Ichiumi, Luke's Lobster, Luke's Lobster, Luke's Lobster 1, Luke's Lobster, Luke's Lobster, Luke's Lobster, Luke's Lobster","937 1st Ave New York, NY, 10017","Japanese, Sushi, Seafood, Asian, Lunch Specials",40.75495,-73.96559,"New York City"
"199","Lure Fish Bar","Molyvos, Markt Restaurant, Phu-Ket Thai Restaurant, Amen Street Fish & Rawbar, Joe's Crab Shack 2349","142 Mercer St New York, NY, 10012","Sushi, Seafood, Cocktails, Fish & Chips",40.7247,-73.99833,"New York City"
"200","Ma Dukes Manhattan Island Seafood","Luke's Lobster 207, Central Wharf Co., Sagaponack, Live Bait, The Mermaid Inn 568","2492 Frederick Douglass Blvd New York, NY, 10027","Seafood, Soul Food",40.81526,-73.94709,"New York City"
"201","Maloney & Porcelli","Boston Chops, Mastro's Steakhouse, Legal Crossing, 212 Steakhouse, Legal Osteria","37 E 50th St New York, NY, 10022","Seafood, Steak",40.75789,-73.97461,"New York City"
"202","Mare Seafood","Harbour Lights, Jasper White's Summer Shack, The Mermaid Inn, The Mermaid Inn, Prime 333","198 E 8th St New York, NY, 10003","Seafood, American",40.72996,-73.99128,"New York City"
"203","Marea","Atlantic Grill Lincoln Center, Il Pesce, Black Crescent, The Capital Grille, Bay Kitchen Bar","240 Central Park S New York, NY, 10019","Italian, Seafood",40.76745,-73.98113,"New York City"
"204","Marisco Centro","Rincon Limeno Restaurant, Boca Chica, Seafood King Fish Market, South Beach Restaurant & Lounge, Red Hook Lobster Pound 16","1490 St Nicholas Ave New York, NY, 10033","Seafood, Latin American",40.85143,-73.93191,"New York City"
"205","Markt Restaurant","Phu-Ket Thai Restaurant, Bangkok Grand Palace, Thai North Catering, Lure Fish Bar, Molyvos","676 6th Ave New York, NY, 10010","Belgian, Seafood",40.74162,-73.9934,"New York City"
"206","Mary's Fish Camp","Waterline, Walter's, Legal Osteria, Flex Mussels 154, Estiatorio Milos","64 Charles St New York, NY, 10014","Seafood",40.73477,-74.00324,"New York City"
"207","Mastro's Steakhouse","Boston Chops, Legal Crossing, Maloney & Porcelli, 212 Steakhouse, Legal Osteria","1285 6th Ave New York, NY, 10019","Sushi, Seafood, Steak",40.7611,-73.98016,"New York City"
"208","McCormick & Schmick's","Oceanaire, Morton's The Steakhouse, L&W Oyster Co., Charlie Palmer Steak, Smith & Wollensky","Faneuil Hall Marketplace Boston, MA, 02109","Seafood, Steak",42.3603769,-71.0549315,"Boston"
"209","Meltemi","BLT Fish, ZZ's Clam Bar, Harlow, Neptune Oyster, The John Dory Oyster Bar","1083 1st Ave New York, NY, 10022","Seafood, American",40.7596251,-73.961963,"New York City"
"210","Mid Atlantic Fish Market","Red & Gold Crab Shack, The Mermaid Inn 568, Joon's Westside Fish, Fire House Seafood, Luke's Lobster 207","4250 Broadway New York, NY, 10033","Seafood",40.84987,-73.93566,"New York City"
"211","Miel","La Marina, Blue Fin, Walter's, Oceana, Mary's Fish Camp","510 Atlantic Ave Boston, MA, 02210","French, Seafood",42.3536908,-71.0519125,"Boston"
"212","Miramar","Thalia, The Claw, White Oak, 75 Chestnut, Benvenuto Caffe","21 S End Ave New York, NY, 10280","Seafood",40.70813,-74.0178,"New York City"
"213","Molyvos","Anassa Taverna, Lure Fish Bar, Seamore?s Nolita, La Marina, Oceana","871 7th Ave New York, NY, 10019","Greek, Seafood",40.76448,-73.98055,"New York City"
"214","Morse Fish Company","Fire House Seafood, Bubba Gump Shrimp Co. 99, Bubba Gump Shrimp Co., Hyman's Seafood, Joon's Westside Fish","1401 Washington St Boston, MA, 02118","Seafood",42.3412541,-71.0701926,"Boston"
"215","Morton's The Steakhouse","Oceanaire, McCormick & Schmick's, L&W Oyster Co., Charlie Palmer Steak, Smith & Wollensky","90 West St New York, NY, 10006","Seafood, Steak, American, Fine Dining",40.71006,-74.01442,"New York City"
"216","Neptune Oyster","212 Steakhouse, The Sea Fire Grill, The Water Club, BLT Fish, Meltemi","63 Salem St Boston, MA, 02113","Seafood, New England",42.3632371,-71.055975,"Boston"
"217","Nerai","Kipo's, Dardanel, Royal Roast Beef and Seafood, 24 Hour Pizza Delivery, Telio","55 E 54th St New York, NY, 10022","Greek, Seafood",40.7603,-73.97302,"New York City"
"218","New Golden Gate","Bubor Cha Cha, Fuleen Seafood, Pings, GaGa Seafood, New Jumbo Seafood","66 Beach St Boston, MA, 02111","Chinese, Seafood, Vegetarian",42.3514043,-71.0600374,"Boston"
"219","New Jumbo Seafood","Lok Sing Seafood Restaurant, GaGa Seafood, Fuleen Seafood, Bubor Cha Cha, New Golden Gate","5 Hudson St Boston, MA, 02111","Chinese, Seafood",42.350931,-71.0601999,"Boston"
"220","Nick's House of Pizza & Seafood","Crown Fried Chicken, Supreme House of Pizza, Arboretum Pizza Grill, Alfredo's Italian Kitchen, Telio","467 W Broadway Boston, MA, 02127","Burgers, Pizza, Sandwiches, Seafood, Wraps",42.3356905,-71.0463159,"Boston"
"221","No Name Restaurant","Gilbert's Chowder House, Susan's Fish N Chips, Fleet Landing, The Lobster Shack, Durgin Park","15 Fish Pier Rd Boston, MA, 02210","Seafood, New England",42.3503378,-71.0380163,"Boston"
"222","North End Grill","Grey Lady, Upstate, Beluga Bar by Caviarteria, Beekman Beer Garden, Lox NYC","104 North End Ave New York, NY, 10282","American (New), Seafood",40.7154302,-74.0154465,"New York City"
"223","North River Lobster Company","Hurley's Saloon, Frying Pan, KO Pies, Wai Cafe, Ditch Plains","Pier 81 New York, NY, 10036","Seafood",40.76177,-74.00252,"New York City"
"224","Oceana","La Marina, Seamore?s Nolita, Miel, Walter's, Legal Osteria","120 W 49th St New York, NY, 10020","Seafood, Cocktails",40.7597437,-73.982321,"New York City"
"225","Oceanaire","McCormick & Schmick's, Morton's The Steakhouse, L&W Oyster Co., Charlie Palmer Steak, Smith & Wollensky","40 Court St Boston, MA, 02108","Seafood, New England",42.3588496,-71.0592945,"Boston"
"226","Off the Boat","Cucina Di Pesce, Umberto's Clam House, Joseph's, Crepes du Nord, Bar Belly","26 Porter St East Boston, MA, 02128","Seafood, New England",42.3746613,-71.0378793,"Boston"
"227","Old Port Sea Grill & Raw Bar","Grand Central Oyster Bar, Pearl Oyster Bar, Atlantic Fish Company, Tracks Raw Bar & Grill, Hunt & Fish Club","93 Commercial St Portland, ME, 04101","Seafood, American",43.6573362,-70.2506683,"Portland"
"228","Ostra","Fish Tag, Kellari Taverna, Barfish Bistro, Taverna Kyclades, Thalassa","1 Charles St Boston, MA, 02108","American (New), Seafood",42.3564175,-71.0694344,"Boston"
"229","Pearl Oyster Bar","Atlantic Fish Company, Old Port Sea Grill & Raw Bar, Grand Central Oyster Bar, Tracks Raw Bar & Grill, Benjamin Steakhouse","18 Cornelia St New York, NY, 10014","Seafood",40.73133,-74.00191,"New York City"
"230","Pearlz Oyster Bar 153","CajunSea, JJR Highridge Fishery, A W Shuck's Seafood, Sagaponack, Coast","153 E Bay St Charleston, SC, 29401","Seafood, American",32.7781761,-79.927206,"Charleston"
"231","Pearlz Oyster Bar 9","CajunSea, JJR Highridge Fishery, A W Shuck's Seafood, Sagaponack, Coast","9 Magnolia Road Charleston, SC, 29407","Seafood",32.7824966,-79.985971,"Charleston"
"232","Pee Dee Steak House","J's Oyster, Fish Market, Captain Fishbones, The Daily Catch 323, The Daily Catch 2","2006 3rd Ave New York, NY, 10029","Seafood, Steak",40.7944,-73.94294,"New York City"
"233","Phu-Ket Thai Restaurant","Bangkok Grand Palace, Thai North Catering, Markt Restaurant, Lure Fish Bar, Molyvos","1856 Centre St West Roxbury, MA, 02132","Thai, Seafood, Asian",42.2860147,-71.1545676,"Boston"
"234","Pier A","Clambakes By Jim Sanford, Pearl Oyster Bar, LTK, Benjamin Steakhouse, Island Creek Oyster Bar","22 Battery Pl New York, NY, 10004","Seafood",40.70441,-74.01794,"New York City"
"235","Pings","New Golden Gate, Bubor Cha Cha, Fuleen Seafood, GaGa Seafood, New Jumbo Seafood","22 Mott Street New York, NY, 10013","Chinese, Dim Sum, Seafood",40.71442,-73.99863,"New York City"
"236","Pisacane Fish & Seafood","Sparks Steak House, Beekman Beer Garden, Pier A, The Falmouth Sea Grill, Clambakes By Jim Sanford","940 1st Ave New York, NY, 10022","Seafood, American",40.75483,-73.96517,"New York City"
"237","Prime 333","Cafe Espanol 78, The Mermaid Inn, The Mermaid Inn, Charlie Palmer Steak, Legal Sea Foods 100, Legal Sea Foods 26, Legal Sea Foods 255","333 E 60th St New York, NY, 10022","Seafood, Steak",40.76085,-73.9623,"New York City"
"238","Red & Gold Crab Shack","Joon's Westside Fish, Mid Atlantic Fish Market, Coast, Bubba Gump Shrimp Co. 99, Bubba Gump Shrimp Co.","30 St Marks Pl New York, NY, 10003","Seafood",40.72881,-73.98849,"New York City"
"239","Red Hook Lobster Pound","James Hook & Co Lobsters, James Hook & Co Lobsters, Urban Lobster Shack On Wheels, Urban Lobster Shack On Wheels, Legal Harborside, Legal Harborside","365 Park Ave, New York, NY 10154","Sandwiches, Seafood",40.75692,-73.9718,"New York City"
"240","Red Hook Lobster Pound","James Hook & Co Lobsters, James Hook & Co Lobsters, Urban Lobster Shack On Wheels, Urban Lobster Shack On Wheels, Legal Harborside, Legal Harborside","16 Extra Pl New York, NY, 10003","Seafood",40.72503,-73.99135,"New York City"
"241","Red Hook Lobster Pound 16","Seafood King Fish Market, Boca Chica, Rincon Limeno Restaurant, Marisco Centro, South Beach Restaurant & Lounge","1609 St Nicholas Ave New York, NY, 10040","Puerto Rican, Seafood, Latin American",40.85524,-73.92965,"New York City"
"242","Red Hook Lobster Pound 365","Flex Mussels, Flex Mussels, The Capital Grille, The John Dory Oyster Bar, Bay Kitchen Bar","Pier 25 New York, NY, 10013","American (New), Seafood",40.72031,-74.01435,"New York City"
